Protein1,Protein2,Score,Experimental System Type
ARPC3,ARPC1B,999,physical
ARPC3,ARPC2,999,physical
ARPC3,ACTR3,999,physical
ARPC3,ARPC5,999,physical
ARPC3,ACTR2,999,physical
ARPC3,ARPC1A,999,physical
CDKN1B,CDK4,999,physical
CDKN1B,CCND1,999,physical
CDKN1B,CDK2,999,physical
CDKN1B,CCNA2,999,physical
IFNG,IFNGR1,999,physical
IFNG,IFNGR2,999,physical
NUP107,NUP160,999,physical
NUP107,NUP98,999,physical
NUP107,NUP37,999,physical
NUP107,NUP43,999,physical
NUP107,NUP85,999,physical
NUP107,NUP133,999,physical
NUP107,SEH1L,999,physical
NUP107,SEC13,999,physical
CNOT2,CNOT10,999,physical
CNOT2,CNOT1,999,physical
CNOT2,CNOT3,999,physical
CNOT2,CNOT11,999,physical
CNOT2,CNOT9,999,physical
COX6A1,COX6B1,999,physical
KLRB1,CLEC2D,999,physical
FANCE,FANCF,999,physical
FANCE,FANCM,999,physical
FANCE,FANCL,999,physical
FANCE,FAAP100,999,physical
FANCE,FANCA,999,physical
FANCE,FANCB,999,physical
FANCE,FANCG,999,physical
FANCE,FANCC,999,physical
GMNN,CDT1,999,physical
SNX3,VPS35,999,physical
FIG4,PIKFYVE,999,physical
FIG4,VAC14,999,physical
BYSL,LTV1,999,physical
TBP,TAF4,999,physical
TBP,GTF2B,999,physical
TBP,BDP1,999,physical
TBP,TAF1,999,physical
EXOC2,RALA,999,physical
EXOC2,EXOC8,999,physical
EXOC2,EXOC4,999,physical
EXOC2,EXOC5,999,physical
EXOC2,EXOC6,999,physical
EXOC2,EXOC3,999,physical
EXOC2,EXOC7,999,physical
EXOC2,EXOC1,999,physical
TMEM30A,ATP8A1,999,physical
MTREX,ZCCHC8,999,physical
HBEGF,EGFR,999,physical
IL4,IL2RG,999,physical
IL4,IL13RA1,999,physical
IL4,IL4R,999,physical
IL5,IL5RA,999,physical
SKP1,SKP2,999,physical
SKP1,CACYBP,999,physical
SKP1,FBXW8,999,physical
SKP1,RBX1,999,physical
SKP1,FBXL5,999,physical
SKP1,BTRC,999,physical
SKP1,FBXW7,999,physical
SKP1,KDM2B,999,physical
SKP1,CUL1,999,physical
NUP155,NUP205,999,physical
NUP155,NUP35,999,physical
NUP155,NUP93,999,physical
NR3C1,HSP90AA1,999,physical
RARS1,QARS1,999,physical
RARS1,KARS1,999,physical
MLH1,PMS2,999,physical
MLH1,MLH3,999,physical
CRBN,CUL4A,999,physical
CRBN,RBX1,999,physical
CRBN,DDB1,999,physical
NPRL2,NPRL3,999,physical
NPRL2,DEPDC5,999,physical
RRP9,NOP58,999,physical
RRP9,NOP56,999,physical
MSH2,MSH6,999,physical
MSH2,MSH3,999,physical
INO80B,RUVBL1,999,physical
SF3B6,SF3B4,999,physical
SF3B6,SF3B2,999,physical
SF3B6,SF3B3,999,physical
SF3B6,SF3B5,999,physical
SF3B6,SF3B1,999,physical
SF3B6,PHF5A,999,physical
NDUFS7,MT-ND2,999,physical
NDUFS7,MT-ND4,999,physical
NDUFS7,NDUFS2,999,physical
NDUFS7,NDUFV2,999,physical
NDUFS7,NDUFS1,999,physical
NDUFS7,MT-ND3,999,physical
NDUFS7,NDUFS4,999,physical
NDUFS7,NDUFA13,999,physical
NDUFS7,NDUFS8,999,physical
NDUFS7,NDUFB9,999,physical
NDUFS7,MT-ND1,999,physical
NDUFS7,MT-ND5,999,physical
NDUFS7,NDUFS6,999,physical
NDUFS7,NDUFA2,999,physical
NDUFS7,NDUFV1,999,physical
NDUFS7,NDUFA5,999,physical
NDUFS7,NDUFA9,999,physical
NDUFS7,NDUFB7,999,physical
NDUFS7,NDUFS3,999,physical
NDUFS7,NDUFA6,999,physical
NDUFS7,NDUFA12,999,physical
PCGF1,RING1,999,physical
PCGF1,RNF2,999,physical
PCGF1,KDM2B,999,physical
IGFBP5,IGF1,999,physical
HSPE1,HSPD1,999,physical
IL1RL1,IL33,999,physical
PPP3R1,PPP3CA,999,physical
GRIN3B,GRIN1,999,physical
MSH6,MSH3,999,physical
MSH6,MSH2,999,physical
BCL9,CTNNB1,999,physical
WDR77,PRMT5,999,physical
MAD2L2,SHLD2,999,physical
MAD2L2,REV3L,999,physical
MAD2L2,REV1,999,physical
MAD2L2,POLD2,999,physical
VAMP4,VTI1A,999,physical
VAMP4,STX6,999,physical
SYF2,CDC5L,999,physical
SYF2,CRNKL1,999,physical
SYF2,XAB2,999,physical
APOA1,ABCA1,999,physical
TTR,RBP4,999,physical
ADAT2,ADAT3,999,physical
RPN2,RPN1,999,physical
RPN2,OST4,999,physical
RPN2,DAD1,999,physical
RPN2,STT3A,999,physical
RPN2,DDOST,999,physical
RPN2,STT3B,999,physical
PKD2,PKD1,999,physical
FGF23,KL,999,physical
FGF23,FGFR1,999,physical
ELL2,AFF4,999,physical
ELL2,MLLT3,999,physical
ELL2,MLLT1,999,physical
CPSF3,SYMPK,999,physical
CPSF3,CPSF2,999,physical
CPSF3,WDR33,999,physical
CPSF3,CPSF4,999,physical
CPSF3,CPSF1,999,physical
IFT43,TTC21B,999,physical
IFT43,WDR19,999,physical
IFT43,IFT122,999,physical
IFT43,WDR35,999,physical
IFT43,IFT140,999,physical
TGFB3,TGFBR1,999,physical
TGFB3,TGFBR2,999,physical
NFYB,NFYC,999,physical
NFYB,NFYA,999,physical
WASHC3,WASHC1,999,physical
WASHC3,WASHC4,999,physical
WASHC3,WASHC5,999,physical
NCAPH,NCAPD2,999,physical
NCAPH,SMC4,999,physical
NCAPH,NCAPG,999,physical
KLRK1,ULBP3,999,physical
KLRK1,MICA,999,physical
