gene1,gene2
ADGRD2,SPON1
ADGRD2,SVOP
ADGRD2,TDRD15
ADGRD2,TERF1
ADGRD2,TEX50
ADGRD2,TEX52
ADGRD2,TMEM132C
ADGRD2,TMEM272
ADGRD2,TRIM64C
ADGRD2,TTC6
ADGRD2,WNK2
ADGRD2,XKR5
ADGRD2,XNDC1N
ADGRD2,ZNF274
ADGRD2,ZNF431
ADGRD2,ZNF678
ADGRD2,ZNF738
ADGRD2,ZSCAN26
ADH1C,APELA
ADH1C,ASXL2
ADH1C,C3orf49
ADH1C,CCDC187
ADH1C,CCDC188
ADH1C,CLDN34
ADH1C,CPHXL
ADH1C,CSAG2
ADH1C,DCP1A
ADH1C,DNAH17
ADH1C,DOC2B
ADH1C,DPP6
ADH1C,EDDM13
ADH1C,EIF2S3B
ADH1C,EZHIP
ADH1C,GLYATL1B
ADH1C,GMCL2
ADH1C,GPHB5
ADH1C,GRIP2
ADH1C,GVQW3
ADH1C,HSH2D
ADH1C,INAFM2
ADH1C,JRK
ADH1C,KCP
ADH1C,KIAA0040
ADH1C,KRTAP20-4
ADH1C,LOC102723971
ADH1C,LOC112267897
ADH1C,MAP3K14
ADH1C,MAP4K5
ADH1C,MAPK8IP2
ADH1C,MGAM2
ADH1C,MYO15B
ADH1C,NCBP2L
ADH1C,NEURL3
ADH1C,OR4C5
ADH1C,OR4E1
ADH1C,PADI6
ADH1C,PAPOLB
ADH1C,PCSK6
ADH1C,PECAM1
ADH1C,PRSS41
ADH1C,PRSS56
ADH1C,PTPRQ
ADH1C,REELD1
ADH1C,RHBG
ADH1C,RIBC2
ADH1C,RNF187
ADH1C,RYK
ADH1C,S100A7A
ADH1C,SAA2
ADH1C,SERTM2
ADH1C,SPAAR
ADH1C,SUPT20HL1
ADH1C,SVOP
ADH1C,TEX13A
ADH1C,TMEM271
ADH1C,TMEM275
ADH1C,TTC6
ADH1C,UMAD1
ADH1C,VPS11
ADH1C,WDR64
ADH1C,ZC3H12D
ADH1C,ZCCHC8
ADH1C,ZNF516
ADH1C,ZNF518A
ADH1C,ZNF717
ADH1C,ZNF718
ADSL,ADSS2
ADSL,AHCY
ADSL,AP2M1
ADSL,ATIC
ADSL,CAD
ADSL,CTPS1
ADSL,DHODH
ADSL,DLST
ADSL,DTYMK
ADSL,FPGS
ADSL,GART
ADSL,GFPT1
ADSL,GMPS
ADSL,IMPDH2
ADSL,MTHFD1
ADSL,NAMPT
ADSL,OGDH
ADSL,PAICS
ADSL,PFAS
ADSL,PGM3
ADSL,PPAT
ADSL,PPCDC
ADSL,RFK
ADSL,RPIA
ADSL,SDHA
ADSL,SDHB
ADSL,SDHC
ADSL,SDHD
ADSL,TFRC
ADSL,TRPM7
ADSL,UMPS
ADSL,YRDC
ADSS2,ATIC
ADSS2,CAD
ADSS2,DHODH
ADSS2,FPGS
ADSS2,GART
ADSS2,GMPS
ADSS2,MTHFD1
ADSS2,NAMPT
ADSS2,PAICS
ADSS2,PFAS
ADSS2,PPAT
ADSS2,RFK
ADSS2,SDHB
ADSS2,TFRC
ADSS2,UMPS
AHCY,ATIC
AHCY,GART
AHCY,GMPS
AHCY,MTHFD1
AHCY,PAICS
AHCY,SDHB
AHCY,SDHC
AHR,ARNT
AIFM1,CHCHD4
AKAP17A,ANKRD40CL
AKAP17A,C1orf167
AKAP17A,C20orf203
AKAP17A,C4orf50
AKAP17A,CCDC92B
AKAP17A,DUXB
AKAP17A,FBLL1
AKAP17A,FGF16
AKAP17A,GABRR3
AKAP17A,INPP5D
AKAP17A,LACTBL1
AKAP17A,MAL2
AKAP17A,OVCH2
AKAP17A,PCDHGB5
AKAP17A,PIK3R6
AKAP17A,PRB3
AKAP17A,PRM3
AKAP17A,PVALEF
AKAP17A,SAA2
AKAP17A,SHOX
AKAP17A,SLC38A3
AKAP17A,SPACA6
AKAP17A,SPEM3
AKAP17A,TAAR9
AKAP17A,TCAF2
AKAP17A,TSPAN10
AKAP17A,WDR97
AKAP17A,ZBED1
ALAD,ALAS1
ALAD,HMBS
ALAD,PPCDC
ALDH3B1,ANKRD18B
ALDH3B1,ANKRD63
ALDH3B1,APELA
ALDH3B1,ASMTL
ALDH3B1,ASXL2
ALDH3B1,ATP6V1FNB
ALDH3B1,BECN2
ALDH3B1,BTNL2
ALDH3B1,C13orf42
ALDH3B1,C20orf204
ALDH3B1,C2orf81
ALDH3B1,C2orf92
ALDH3B1,C3orf49
ALDH3B1,CCDC154
ALDH3B1,CCDC18
ALDH3B1,CD300H
ALDH3B1,CEBPZOS
ALDH3B1,CFAP97D2
ALDH3B1,CLASP2
ALDH3B1,CLDN34
ALDH3B1,COPG2
ALDH3B1,COPZ2
ALDH3B1,CRYBG3
ALDH3B1,CSF2RA
ALDH3B1,CSNKA2IP
ALDH3B1,CTXND1
ALDH3B1,CYFIP2
ALDH3B1,DCAF1
ALDH3B1,DCAF7
ALDH3B1,DCDC2C
ALDH3B1,DCP1A
ALDH3B1,DEXI
ALDH3B1,DNAH17
ALDH3B1,DNAH8
ALDH3B1,DOCK1
ALDH3B1,DPP6
ALDH3B1,ERFL
ALDH3B1,ERICH2
ALDH3B1,EXOC1L
ALDH3B1,FAM240A
ALDH3B1,FOXD1
ALDH3B1,FOXI3
ALDH3B1,FTCDNL1
ALDH3B1,GLYATL1B
ALDH3B1,GMCL2
ALDH3B1,HECTD4
ALDH3B1,HSH2D
ALDH3B1,KIZ
ALDH3B1,KLF18
ALDH3B1,KRBA1
ALDH3B1,KRBOX4
ALDH3B1,KRTAP1-3
ALDH3B1,KRTAP20-4
ALDH3B1,LOC389895
ALDH3B1,LRRC9
ALDH3B1,LY6L
ALDH3B1,MALRD1
ALDH3B1,MAP3K15
ALDH3B1,MAP4K5
ALDH3B1,MS4A4E
ALDH3B1,MYMX
ALDH3B1,MYO15B
ALDH3B1,MYRFL
ALDH3B1,NAIP
ALDH3B1,NBDY
ALDH3B1,NCBP2L
ALDH3B1,NOBOX
ALDH3B1,NPIPB11
ALDH3B1,NR2E3
ALDH3B1,OR2J1
ALDH3B1,OR4C5
